//BOTTOM
1169,1280,690,800
1106,1169,690,800
1041,1106,690,800
977,1041,690,800
914,977,690,800
851,914,690,800
786,851,690,800
722,786,690,800
656,722,690,800
590,656,690,800
480,590,690,800
//LEFT
480,585,622,690
480,585,557,622
480,585,492,557
480,585,424,492
480,585,362,424
480,585,296,362
480,585,230,296
480,585,168,230
480,585,103,168
//TOP
480,590,0,100
590,656,0,100
656,722,0,100
722,786,0,100
786,851,0,100
851,914,0,100
914,977,0,100
977,1041,0,100
1041,1106,0,100
1106,1169,0,100
1169,1280,0,100
//RIGHT
1170,1280,103,168
1170,1280,168,230
1170,1280,230,296
1170,1280,296,362
1170,1280,362,424
1170,1280,424,492
1170,1280,492,557
1170,1280,557,622
1170,1280,622,690
